Date,Close
2010-01-04,0.424
2010-01-05,0.43
2010-01-06,0.433
2010-01-07,0.424
2010-01-08,0.425
2010-01-11,0.419
2010-01-12,0.405
2010-01-13,0.41
2010-01-14,0.404
2010-01-15,0.392
2010-01-19,0.399
2010-01-20,0.398
2010-01-21,0.391
2010-01-22,0.377
2010-01-25,0.384
2010-01-26,0.372
2010-01-27,0.382
2010-01-28,0.369
2010-01-29,0.353
2010-02-01,0.38
2010-02-02,0.384
2010-02-03,0.387
2010-02-04,0.364
2010-02-05,0.372
2010-02-08,0.371
2010-02-09,0.368
2010-02-10,0.375
2010-02-11,0.392
2010-02-12,0.398
2010-02-16,0.405
2010-02-17,0.409
2010-02-18,0.382
2010-02-19,0.38
2010-02-22,0.381
2010-02-23,0.372
2010-02-24,0.379
2010-02-25,0.376
2010-02-26,0.371
2010-03-01,0.386
2010-03-02,0.386
2010-03-03,0.381
2010-03-04,0.382
2010-03-05,0.394
2010-03-08,0.388
2010-03-09,0.402
2010-03-10,0.403
2010-03-11,0.394
2010-03-12,0.395
2010-03-15,0.393
2010-03-16,0.407
2010-03-17,0.415
2010-03-18,0.4
2010-03-19,0.395
2010-03-22,0.402
2010-03-23,0.41
2010-03-24,0.396
2010-03-25,0.397
2010-03-26,0.397
2010-03-29,0.402
2010-03-30,0.404
2010-03-31,0.399
2010-04-01,0.395
2010-04-05,0.401
2010-04-06,0.391
2010-04-07,0.393
2010-04-08,0.387
2010-04-09,0.389
2010-04-12,0.397
2010-04-13,0.405
2010-04-14,0.41
2010-04-15,0.413
2010-04-16,0.391
2010-04-19,0.389
2010-04-20,0.391
2010-04-21,0.38
2010-04-22,0.382
2010-04-23,0.377
2010-04-26,0.38
2010-04-27,0.37
2010-04-28,0.37
2010-04-29,0.382
2010-04-30,0.36
2010-05-03,0.356
2010-05-04,0.338
2010-05-05,0.332
2010-05-06,0.325
2010-05-07,0.32
2010-05-10,0.334
2010-05-11,0.33
2010-05-12,0.336
2010-05-13,0.336
2010-05-14,0.297
2010-05-17,0.298
2010-05-18,0.288
2010-05-19,0.292
2010-05-20,0.286
2010-05-21,0.292
2010-05-24,0.283
2010-05-25,0.291
2010-05-26,0.292
2010-05-27,0.309
2010-05-28,0.301
2010-06-01,0.288
2010-06-02,0.292
2010-06-03,0.291
2010-06-04,0.277
2010-06-07,0.264
2010-06-08,0.256
2010-06-09,0.25
2010-06-10,0.26
2010-06-11,0.266
2010-06-14,0.26
2010-06-15,0.273
2010-06-16,0.27
2010-06-17,0.28
2010-06-18,0.282
2010-06-21,0.275
2010-06-22,0.265
2010-06-23,0.268
2010-06-24,0.255
2010-06-25,0.254
2010-06-28,0.254
2010-06-29,0.24
2010-06-30,0.234
2010-07-01,0.238
2010-07-02,0.235
2010-07-06,0.232
2010-07-07,0.244
2010-07-08,0.236
2010-07-09,0.237
2010-07-12,0.242
2010-07-13,0.25
2010-07-14,0.253
2010-07-15,0.246
2010-07-16,0.23
2010-07-19,0.24
2010-07-20,0.246
2010-07-21,0.238
2010-07-22,0.242
2010-07-23,0.237
2010-07-26,0.242
2010-07-27,0.24
2010-07-28,0.232
2010-07-29,0.209
2010-07-30,0.211
2010-08-02,0.21
2010-08-03,0.205
2010-08-04,0.214
2010-08-05,0.216
2010-08-06,0.219
2010-08-09,0.221
2010-08-10,0.212
2010-08-11,0.204
2010-08-12,0.205
2010-08-13,0.215
2010-08-16,0.21
2010-08-17,0.212
2010-08-18,0.214
2010-08-19,0.226
2010-08-20,0.229
2010-08-23,0.225
2010-08-24,0.223
2010-08-25,0.227
2010-08-26,0.225
2010-08-27,0.232
2010-08-30,0.221
2010-08-31,0.214
2010-09-01,0.215
2010-09-02,0.219
2010-09-03,0.227
2010-09-07,0.229
2010-09-08,0.237
2010-09-09,0.233
2010-09-10,0.231
2010-09-13,0.244
2010-09-14,0.242
2010-09-15,0.242
2010-09-16,0.242
2010-09-17,0.242
2010-09-20,0.245
2010-09-21,0.259
2010-09-22,0.261
2010-09-23,0.266
2010-09-24,0.281
2010-09-27,0.275
2010-09-28,0.274
2010-09-29,0.272
2010-09-30,0.268
2010-10-01,0.26
2010-10-04,0.258
2010-10-05,0.259
2010-10-06,0.247
2010-10-07,0.245
2010-10-08,0.249
2010-10-11,0.248
2010-10-12,0.253
2010-10-13,0.26
2010-10-14,0.256
2010-10-15,0.259
2010-10-18,0.26
2010-10-19,0.259
2010-10-20,0.259
2010-10-21,0.254
2010-10-22,0.27
2010-10-25,0.273
2010-10-26,0.272
2010-10-27,0.276
2010-10-28,0.276
2010-10-29,0.275
2010-11-01,0.276
2010-11-02,0.282
2010-11-03,0.284
2010-11-04,0.284
2010-11-05,0.289
2010-11-08,0.29
2010-11-09,0.289
2010-11-10,0.292
2010-11-11,0.289
2010-11-12,0.304
2010-11-15,0.3
2010-11-16,0.291
2010-11-17,0.296
2010-11-18,0.305
2010-11-19,0.315
2010-11-22,0.315
2010-11-23,0.308
2010-11-24,0.316
2010-11-26,0.312
2010-11-29,0.315
2010-11-30,0.312
2010-12-01,0.326
2010-12-02,0.33
2010-12-03,0.339
2010-12-06,0.333
2010-12-07,0.343
2010-12-08,0.346
2010-12-09,0.341
2010-12-10,0.343
2010-12-13,0.334
2010-12-14,0.334
2010-12-15,0.327
2010-12-16,0.328
2010-12-17,0.329
2010-12-20,0.328
2010-12-21,0.341
2010-12-22,0.344
2010-12-23,0.342
2010-12-27,0.344
2010-12-28,0.342
2010-12-29,0.342
2010-12-30,0.344
2010-12-31,0.353
2011-01-03,0.363
2011-01-04,0.361
2011-01-05,0.389
2011-01-06,0.443
2011-01-07,0.455
2011-01-10,0.473
2011-01-11,0.465
2011-01-12,0.535
2011-01-13,0.536
2011-01-14,0.541
2011-01-18,0.528
2011-01-19,0.514
2011-01-20,0.514
2011-01-21,0.509
2011-01-24,0.567
2011-01-25,0.549
2011-01-26,0.562
2011-01-27,0.561
2011-01-28,0.545
2011-01-31,0.548
2011-02-01,0.561
2011-02-02,0.586
2011-02-03,0.575
2011-02-04,0.588
2011-02-07,0.564
2011-02-08,0.547
2011-02-09,0.534
2011-02-10,0.523
2011-02-11,0.538
2011-02-14,0.53
2011-02-15,0.517
2011-02-16,0.536
2011-02-17,0.589
2011-02-18,0.587
2011-02-22,0.532
2011-02-23,0.507
2011-02-24,0.519
2011-02-25,0.53
2011-02-28,0.519
2011-03-01,0.496
2011-03-02,0.476
2011-03-03,0.478
2011-03-04,0.476
2011-03-07,0.469
2011-03-08,0.448
2011-03-09,0.439
2011-03-10,0.411
2011-03-11,0.414
2011-03-14,0.417
2011-03-15,0.405
2011-03-16,0.402
2011-03-17,0.409
2011-03-18,0.404
2011-03-21,0.407
2011-03-22,0.4
2011-03-23,0.408
2011-03-24,0.441
2011-03-25,0.427
2011-03-28,0.443
2011-03-29,0.439
2011-03-30,0.423
2011-03-31,0.423
2011-04-01,0.417
2011-04-04,0.402
2011-04-05,0.403
2011-04-06,0.4
2011-04-07,0.415
2011-04-08,0.402
2011-04-11,0.397
2011-04-12,0.398
2011-04-13,0.407
2011-04-14,0.424
2011-04-15,0.429
2011-04-18,0.415
2011-04-19,0.413
2011-04-20,0.426
2011-04-21,0.424
2011-04-25,0.431
2011-04-26,0.442
2011-04-27,0.442
2011-04-28,0.447
2011-04-29,0.458
2011-05-02,0.452
2011-05-03,0.431
2011-05-04,0.427
2011-05-05,0.428
2011-05-06,0.443
2011-05-09,0.453
2011-05-10,0.453
2011-05-11,0.455
2011-05-12,0.47
2011-05-13,0.419
2011-05-16,0.406
2011-05-17,0.404
2011-05-18,0.413
